date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:24:36	7302/7302	---M-Z	200	added ('OK')	text/css	etag:%221c86-5962004243e09-gzip%22	https://directorist.com/theme/demo/direo/wp-content/themes/direo/vendor_assets/css/magnific-popup.css	C:/Users/HP/Documents/sharingan/direo/directorist.com/theme/demo/direo/wp-content/themes/direo/vendor_assets/css/magnific-popup.css	(from https://directorist.com/theme/demo/direo/)
18:24:37	3393/3393	---M-Z	200	added ('OK')	text/css	etag:%22d41-59620042441f1-gzip%22	https://directorist.com/theme/demo/direo/wp-content/themes/direo/vendor_assets/css/owl.carousel.min.css	C:/Users/HP/Documents/sharingan/direo/directorist.com/theme/demo/direo/wp-content/themes/direo/vendor_assets/css/owl.carousel.min.css	(from https://directorist.com/theme/demo/direo/)
18:24:37	15314/15314	---M-Z	200	added ('OK')	text/css	etag:%223bd2-59565b2ba0234-gzip%22	https://directorist.com/theme/demo/direo/wp-content/plugins/woocommerce/assets/css/select2.css?ver=3.7.1	C:/Users/HP/Documents/sharingan/direo/directorist.com/theme/demo/direo/wp-content/plugins/woocommerce/assets/css/select2f43b.css	(from https://directorist.com/theme/demo/direo/)
18:24:37	1902/1902	---M-Z	200	added ('OK')	text/css	etag:%2276e-59620042441f1-gzip%22	https://directorist.com/theme/demo/direo/wp-content/themes/direo/vendor_assets/css/slick.css	C:/Users/HP/Documents/sharingan/direo/directorist.com/theme/demo/direo/wp-content/themes/direo/vendor_assets/css/slick.css	(from https://directorist.com/theme/demo/direo/)
18:24:37	382926/382926	---MCZ	200	added ('OK')	text/css	etag:%225d7ce-596200424b721-gzip%22	https://directorist.com/theme/demo/direo/wp-content/themes/direo/style.css?ver=5.2.4	C:/Users/HP/Documents/sharingan/direo/directorist.com/theme/demo/direo/wp-content/themes/direo/style4d2c.css	(from https://directorist.com/theme/demo/direo/)
18:24:38	68958/68958	---M-Z	200	added ('OK')	text/css	etag:%2210d5e-58794a161bd00-gzip%22	https://directorist.com/theme/demo/direo/wp-content/plugins/kingcomposer/assets/frontend/css/kingcomposer.min.css?ver=2.8.2	C:/Users/HP/Documents/sharingan/direo/directorist.com/theme/demo/direo/wp-content/plugins/kingcomposer/assets/frontend/css/kingcomposer.min4dc3.css	(from https://directorist.com/theme/demo/direo/)
18:24:38	36745/36745	---M-Z	200	added ('OK')	text/css	etag:%228f89-58794a161bd00-gzip%22	https://directorist.com/theme/demo/direo/wp-content/plugins/kingcomposer/assets/css/animate.css?ver=2.8.2	C:/Users/HP/Documents/sharingan/direo/directorist.com/theme/demo/direo/wp-content/plugins/kingcomposer/assets/css/animate4dc3.css	(from https://directorist.com/theme/demo/direo/)
18:24:38	28115/28115	---M-Z	200	added ('OK')	text/css	etag:%226dd3-5962004243e09-gzip%22	https://directorist.com/theme/demo/direo/wp-content/themes/direo/vendor_assets/css/line-awesome.min.css?ver=2.8.2	C:/Users/HP/Documents/sharingan/direo/directorist.com/theme/demo/direo/wp-content/themes/direo/vendor_assets/css/line-awesome.min4dc3.css	(from https://directorist.com/theme/demo/direo/)
18:24:38	49302/49302	---M-Z	200	added ('OK')	text/css	etag:%22c096-58794a161bd00-gzip%22	https://directorist.com/theme/demo/direo/wp-content/plugins/kingcomposer/assets/css/icons.css?ver=2.8.2	C:/Users/HP/Documents/sharingan/direo/directorist.com/theme/demo/direo/wp-content/plugins/kingcomposer/assets/css/icons4dc3.css	(from https://directorist.com/theme/demo/direo/)
18:24:38	96873/96873	---M-Z	200	added ('OK')	application/javascript	etag:%2217a69-5897635b8c100-gzip%22	https://directorist.com/theme/demo/direo/wp-includes/js/jquery/jquery.js?ver=1.12.4-wp	C:/Users/HP/Documents/sharingan/direo/directorist.com/theme/demo/direo/wp-includes/js/jquery/jquery4a5f.js	(from https://directorist.com/theme/demo/direo/)
